image,quantile,occupancy,decoded
cropped.png,0.46,0.540,
cropped.png,0.47,0.532,
cropped.png,0.48,0.520,#8B3886177B ###=0302604331701S
cropped.png,0.49,0.510,#8B3886177B ###=0302604331701S
cropped.png,0.50,0.500,#8B3886177B ###=0302604331701S
cropped.png,0.51,0.490,
cropped.png,0.52,0.480,
yenitest.png,0.46,0.542,
yenitest.png,0.47,0.530,#8B3886177B ###=0302604331701S
yenitest.png,0.48,0.522,#8B3886177B ###=0302604331701S
yenitest.png,0.49,0.510,#8B3886177B ###=0302604331701S
yenitest.png,0.50,0.505,#8B3886177B ###=0302604331701S
yenitest.png,0.51,0.490,
yenitest.png,0.52,0.485,
yenitest2.png,0.46,0.540,
yenitest2.png,0.47,0.530,
yenitest2.png,0.48,0.522,#8B3886177B ###=0302604331701S
yenitest2.png,0.49,0.510,#8B3886177B ###=0302604331701S
yenitest2.png,0.50,0.502,#8B3886177B ###=0302604331701S
yenitest2.png,0.51,0.490,
yenitest2.png,0.52,0.482,
